,release_date,danceability,energy,loudness,acousticness,instrumentalness,valence,rock,pop,dance pop,classic rock,classical,rap,hip hop,modern rock,mellow gold,album rock,permanent wave,pop rap
32867,2019,0.701,0.425,-10.965,0.3279999999999999,0.13,0.562,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40667,1995,0.647,0.514,-10.05,0.0655,0.0,0.387,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
42848,2016,0.748,0.524,-5.599,0.414,0.0,0.6609999999999999,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28244,2013,0.445,0.537,-8.532,0.695,1.65e-05,0.131,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27394,2021,0.778,0.695,-6.865,0.175,0.0,0.472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12489,2021,0.828,0.621,-6.414,0.0164,0.00233,0.436,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3123,2021,0.8220000000000001,0.736,-3.969,0.157,0.000781,0.679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6259,2002,0.5479999999999999,0.847,-3.237,0.0622,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
9470,2015,0.64,0.74,-4.083,0.0115,0.00678,0.785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40478,2018,0.8340000000000001,0.73,-3.714,0.00513,0.0,0.446,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21466,2020,0.731,0.573,-10.059,0.401,5.22e-05,0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38586,2021,0.669,0.784,-5.603,0.1939999999999999,6.28e-06,0.517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22258,2021,0.471,0.396,-6.654,0.77,0.0,0.263,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41307,2020,0.83,0.585,-6.476,0.237,0.0,0.485,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6185,2021,0.6859999999999999,0.385,-8.35,0.614,0.0,0.147,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
3690,2018,0.74,0.613,-4.88,0.258,0.00372,0.473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18202,2012,0.726,0.698,-4.165,0.049,0.0,0.867,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18994,2021,0.649,0.76,-6.487,0.114,0.0,0.843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24950,2020,0.935,0.4539999999999999,-7.508999999999999,0.0194,0.0,0.357,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
23352,2021,0.8490000000000001,0.701,-4.407,0.407,0.0,0.505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24532,2021,0.568,0.56,-9.059,0.228,3.05e-06,0.246,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
9625,2021,0.621,0.989,-4.225,0.015,0.357,0.0348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24634,2002,0.557,0.442,-7.224,0.731,1.46e-05,0.213,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20730,2018,0.5660000000000001,0.366,-12.808,0.113,0.181,0.237,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20625,2011,0.733,0.71,-5.849,0.145,0.115,0.965,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
40849,2020,0.81,0.511,-6.924,0.12,0.0,0.8370000000000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8031,2021,0.7390000000000001,0.758,-4.096,0.439,0.0017,0.691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13876,2021,0.82,0.611,-5.02,0.0766,2.5e-05,0.637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39862,2020,0.436,0.655,-8.37,0.499,8.1e-06,0.412,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
40773,2021,0.841,0.527,-8.116,0.0427,1.54e-06,0.5820000000000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39516,2019,0.88,0.7509999999999999,-4.258,0.177,6.43e-05,0.884,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24816,2021,0.774,0.792,-4.021,0.051,0.0,0.507,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
41335,2021,0.907,0.3929999999999999,-7.636,0.451,1.35e-06,0.2019999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40663,2019,0.8959999999999999,0.586,-6.687,0.104,0.0,0.642,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21719,2021,0.672,0.7170000000000001,-7.476,0.103,0.0,0.473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28815,1985,0.573,0.902,-7.638,0.018,0.00125,0.8759999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
34140,2021,0.78,0.7190000000000001,-3.613,0.302,0.000196,0.336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16932,2015,0.7340000000000001,0.637,-5.6770000000000005,0.0462,2.29e-05,0.648,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
42956,2020,0.8079999999999999,0.745,-5.26,0.145,0.0,0.8290000000000001,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
42987,2015,0.585,0.564,-7.063,0.0671,0.0,0.1369999999999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44551,2014,0.7809999999999999,0.445,-6.061,0.474,0.0,0.591,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42697,2018,0.5720000000000001,0.385,-6.362,0.371,0.0,0.3229999999999999,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44422,2019,0.77,0.7240000000000001,-5.484,0.0167,0.0107,0.898,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
32520,2021,0.8270000000000001,0.731,-5.524,0.13,0.0,0.607,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43036,2019,0.598,0.427,-8.764,0.0546,5.83e-06,0.0605,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
42586,2015,0.611,0.797,-7.627000000000001,0.00543,0.00137,0.518,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15046,2021,0.79,0.7659999999999999,-3.497,0.324,0.0,0.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4630,2021,0.95,0.693,-3.424,0.0133,0.0,0.8909999999999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28823,2020,0.7090000000000001,0.5479999999999999,-8.493,0.65,1.59e-06,0.5429999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28239,2013,0.5479999999999999,0.532,-7.596,0.186,0.000263,0.405,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
28916,2019,0.6759999999999999,0.7709999999999999,-3.675,0.0237,7.000000000000001e-06,0.569,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16470,2021,0.701,0.741,-6.157,0.1119999999999999,0.0,0.588,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
31702,2020,0.8320000000000001,0.534,-7.813,0.345,0.0,0.1159999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7157,2020,0.597,0.45,-6.658,0.223,0.0,0.537,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41515,2021,0.526,0.731,-4.662,0.18,0.0,0.476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15343,2000,0.556,0.8640000000000001,-5.87,0.00958,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42535,2019,0.4479999999999999,0.838,-5.257000000000001,0.21,0.000131,0.254,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
920,2014,0.614,0.379,-10.48,0.607,0.0004639999999999,0.201,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15087,2021,0.664,0.6920000000000001,-4.128,0.237,0.0,0.233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5129,1986,0.532,0.887,-3.757,0.0778,0.000214,0.795,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8421,2021,0.8909999999999999,0.7509999999999999,-3.15,0.0685,0.000598,0.711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24071,2017,0.797,0.5329999999999999,-9.74,0.0172,0.000152,0.3289999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
